,Topic,Word,P
0,0,wikipedia,0.013596197590231895
1,0,article,0.012851011008024216
2,0,thank,0.012602103874087334
3,0,use,0.009415730834007263
4,0,experiment,0.009412651881575584
5,0,like,0.008192785084247589
6,0,nonsense,0.00781647115945816
7,0,time,0.007707910146564245
8,0,fuck,0.007373048923909664
9,0,look,0.007315247785300016
10,0,add,0.007244629319757223
11,0,go,0.006689413450658321
12,0,say,0.006233110558241606
13,0,page,0.006126714870333672
14,0,sandbox,0.005782794207334518
15,1,say,0.012780674733221531
16,1,article,0.01048706378787756
17,1,know,0.00813259556889534
18,1,time,0.008110481314361095
19,1,think,0.007887258194386959
20,1,make,0.0067811585031449795
21,1,people,0.006715594325214624
22,1,see,0.005910862702876329
23,1,wikipedia,0.005564246792346239
24,1,read,0.005563839338719845
25,1,name,0.005445544607937336
26,1,fact,0.0051459334790706635
27,1,give,0.005032183136790991
28,1,state,0.0045626345090568066
29,1,mean,0.004398375283926725
30,2,article,0.0347866490483284
31,2,page,0.02287594974040985
32,2,wikipedia,0.017803138121962547
33,2,edit,0.013831251300871372
34,2,see,0.009986022487282753
35,2,use,0.009263599291443825
36,2,talk,0.009175787679851055
37,2,link,0.008366359397768974
38,2,add,0.00808156467974186
39,2,need,0.006920321378856897
40,2,think,0.006685815751552582
41,2,thank,0.006348809693008661
42,2,name,0.005928166210651398
43,2,help,0.005894727539271116
44,2,source,0.005674721207469702
45,3,window,0.011060178279876709
46,3,kansa,0.008807411417365074
47,3,article,0.008125132881104946
48,3,descend,0.006584016140550375
49,3,canadian,0.005972239654511213
50,3,silva,0.005935262888669968
51,3,album,0.0056860134936869144
52,3,fuck,0.00567231560125947
53,3,day,0.0055709476582705975
54,3,claim,0.00535343773663044
55,3,norm,0.004406509920954704
56,3,overlap,0.004401670768857002
57,3,rfc,0.004382918123155832
58,3,time,0.00429574167355895
59,3,paris,0.004215441178530455
60,4,wikicup,0.00789673626422882
61,4,chop,0.007196437101811171
62,4,know,0.005989091005176306
63,4,greek,0.00463506393134594
64,4,gold,0.0035820764023810625
65,4,roman,0.0034275976940989494
66,4,article,0.003397518303245306
67,4,read,0.0032202654983848333
68,4,capture,0.003219368401914835
69,4,sea,0.002943663392215967
70,4,wpel,0.0029064095579087734
71,4,bio,0.0028113871812820435
72,4,bunch,0.002700303215533495
73,4,ec,0.0026897655334323645
74,4,cricketer,0.002624984597787261
75,5,suck,0.02138664200901985
76,5,think,0.014947880990803242
77,5,make,0.009082382544875145
78,5,wikipedia,0.00826630275696516
79,5,comment,0.0056426976807415485
80,5,people,0.005545942112803459
81,5,know,0.005324081052094698
82,5,go,0.005319651681929827
83,5,say,0.0052883801981806755
84,5,article,0.005215057171881199
85,5,editor,0.005066073965281248
86,5,dick,0.005061679985374212
87,5,penis,0.0047245146706700325
88,5,revert,0.004715676419436932
89,5,get,0.004407510627061129
90,6,know,0.016116365790367126
91,6,article,0.01030475739389658
92,6,section,0.009113753214478493
93,6,go,0.0086244260892272
94,6,temperature,0.007188256364315748
95,6,pa,0.007124561350792646
96,6,make,0.005741892848163843
97,6,fuck,0.004794615786522627
98,6,change,0.004568588919937611
99,6,see,0.004487195052206516
100,6,comment,0.004390684422105551
101,6,incorrectly,0.003923788201063871
102,6,agree,0.003752819960936904
103,6,page,0.003732468467205763
104,6,california,0.003622997784987092
105,7,article,0.019590061157941818
106,7,know,0.009049351327121258
107,7,make,0.006975430529564619
108,7,think,0.006809288635849953
109,7,even,0.006000383757054806
110,7,people,0.005942982155829668
111,7,write,0.005882366094738245
112,7,wikipedia,0.005434923805296421
113,7,do,0.00542909512296319
114,7,go,0.005226875655353069
115,7,also,0.004686334170401096
116,7,try,0.004638372454792261
117,7,find,0.004246019758284092
118,7,name,0.004220418632030487
119,7,take,0.004165948834270239
120,8,article,0.023672927170991898
121,8,page,0.018547793850302696
122,8,use,0.015599594451487064
123,8,wikipedia,0.014303895644843578
124,8,name,0.00892189983278513
125,8,thank,0.00891224853694439
126,8,change,0.008432751521468163
127,8,image,0.007234183605760336
128,8,edit,0.007066130638122559
129,8,comment,0.006506091449409723
130,8,help,0.006314769387245178
131,8,add,0.006260768044739962
132,8,talk,0.0061562685295939445
133,8,see,0.005935980472713709
134,8,also,0.005815728567540646
135,9,say,0.009447088465094566
136,9,article,0.009293025359511375
137,9,time,0.008279426023364067
138,9,go,0.008158995769917965
139,9,get,0.007463889662176371
140,9,make,0.006350619252771139
141,9,people,0.0061883870512247086
142,9,wolf,0.0060525559820234776
143,9,also,0.005757668521255255
144,9,think,0.005524179898202419
145,9,fuck,0.005128274206072092
146,9,troll,0.00478722807019949
147,9,seem,0.004543825518339872
148,9,link,0.004481441807001829
149,9,black,0.004286129027605057
